relative_path,status,before_bytes,after_bytes,started_at,finished_at,error
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_002.webm",failed,2795218,2795218,"2026-08-16T22:42:59.4106940+07:00","2026-08-16T22:42:59.4882012+07:00","ffmpeg exit code -22"
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_003.mp4",success,1759666,986568,"2026-08-16T22:42:59.4892105+07:00","2026-08-16T22:43:01.0123253+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_005.mp4",success,3491947,3151593,"2026-08-16T22:43:01.0143222+07:00","2026-08-16T22:43:03.5112196+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_006.mp4",success,3459542,2026673,"2026-08-16T22:43:03.5124440+07:00","2026-08-16T22:43:06.2010579+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_007.mp4",skipped_small,958564,958564,"2026-08-16T22:43:06.2030812+07:00","2026-08-16T22:43:06.2030812+07:00","Source <= 1 MiB; preserved as already small."
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_24_47_008.mp4",success,5128923,2835962,"2026-08-16T22:43:06.2229660+07:00","2026-08-16T22:43:09.5365351+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_001.mp4",success,15429724,2491001,"2026-08-16T22:43:09.5375314+07:00","2026-08-16T22:43:13.4030631+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_002.mp4",success,2985951,1286277,"2026-08-16T22:43:13.4050752+07:00","2026-08-16T22:43:14.5944183+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_003.mp4",success,1502204,764085,"2026-08-16T22:43:14.5954213+07:00","2026-08-16T22:43:15.6442063+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_004.mp4",success,1671512,1086749,"2026-08-16T22:43:15.6462043+07:00","2026-08-16T22:43:16.8723582+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_005.mp4",success,4484069,2932829,"2026-08-16T22:43:16.8743575+07:00","2026-08-16T22:43:19.7009795+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_006.mp4",success,1829023,1079059,"2026-08-16T22:43:19.7029868+07:00","2026-08-16T22:43:20.9847787+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_007.mp4",success,5209444,3577094,"2026-08-16T22:43:20.9867685+07:00","2026-08-16T22:43:23.8182875+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_008.mp4",success,3110192,1690085,"2026-08-16T22:43:23.8205561+07:00","2026-08-16T22:43:25.8362515+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_009.mp4",success,21205313,13831242,"2026-08-16T22:43:25.8382543+07:00","2026-08-16T22:43:39.7728104+07:00",""
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_binh_thuong_48_60_010.mp4",skipped_not_smaller,17117261,17117261,"2026-08-16T22:43:39.7748372+07:00","2026-08-16T22:43:53.4587237+07:00","Compressed output is not smaller; source preserved."
"quan_he_xa_hoi/so_sanh_quan_he_xa_hoi_roi_loan_pho_tu_ky_15_23_004.mp4",success,1869530,390379,"2026-08-16T22:43:53.4617392+07:00","2026-08-16T22:43:54.0147595+07:00",""
